index,word,품사,,
434,낫겠다,Verb,,
435,싶을,Verb,,
436,만큼,Noun,,
439,일어날,Verb,,
443,일,Noun,,
449,네,Noun,,
450,한계,Noun,,
452,어디,Noun,,
453,냐,Josa,,
456,물었고,Verb,,
458,역시,Noun,,
460,물음,Noun,,
465,구,Noun,,
466,하느라,Verb,,
467,꽤,Noun,,
468,오랜,Adverb,,
471,보냈습니다,Verb,,
474,그렇지만,Conjunction,,
475,적어도,Adverb,,
477,까지는,Josa,Punctuation,
479,무엇,Noun,,
483,무릎,Noun,,
484,꿇게,Verb,,
485,하진,Noun,,
490,좋아하는,Adjective,,
492,이기,Noun,,
494,정상,Noun,,
496,우뚝,Noun,,
497,서진,Noun,,
499,하더라도,Verb,,
500,조금씩,Adverb,,
501,발전,Noun,,
503,끝,Noun,,
506,보고,Noun,,
507,싶었기,Verb,,
508,때문,Noun,,
509,입니다,Adjective,,
512,화려함보다,Adjective,,
513,꾸준함을,Adjective,,
514,응원,Noun,,
517,기기,Noun,,
518,보다,Verb,,
519,지지,Noun,,
520,않기,Verb,,
521,위해,Noun,,
522,노력,Noun,,
523,하라,Noun,,
526,좌우명,Noun,,
527,처럼,Noun,,
528,힘들고,Adjective,,
529,어려운,Adjective,,
530,시절,Noun,,
532,참고,Noun,,
533,견뎌,Verb,,
534,나갔습니다,Verb,,
536,그렇게,Adverb,,
537,고비,Noun,,
539,넘길,Verb,,
541,마다,Noun,,
544,어느새,Adjective,,
548,크기,Noun,,
550,성장할,Adjective,,
553,메이저리그,Noun,,
555,풀타임,Noun,,
559,하던,Verb,,
560,2009년,Number,,
562,문득,Noun,Punctuation,
564,즐겁다,Adjective,,
569,들기,Verb,,
573,어렵고,Adjective,,
574,부담,Noun,,
578,아니라,Adjective,,
579,야구장,Noun,,
582,자유로운,Adjective,,
585,되어,Verb,,
589,발견,Noun,,
590,했거든요,Verb,,
592,부단한,Adjective,,
593,연습,Noun,,
599,준비,Noun,,
602,으로,Josa,,
603,만들었고,Verb,,
604,승부,Noun,,
606,연연하지,Adjective,,
607,않고,Verb,,
608,진정,Noun,,
612,사랑,Noun,,
614,만들었습니다,Verb,,
619,편안해지니,Adjective,,
621,성적,Noun,,
626,가까이,Noun,,
627,다가왔습니다,Verb,,
630,시즌,Noun,,
631,비로소,Noun,,
632,2년,Number,,
633,차,Noun,,
638,144,Number,,
641,섰고,Verb,,
643,올해,Noun,,
644,초,Noun,,
645,연봉,Noun,,
646,협상,Noun,,
649,마무리,Noun,,
650,지었으며,Verb,,
653,팀,Noun,,
654,에서는,Josa,Punctuation,
657,주축,Noun,,
660,다,Adverb,,
661,시,Noun,,
662,한번,Noun,,
663,인정,Noun,,
669,작업,Noun,,
673,파이브,Noun,,
674,툴,Noun,,
675,플레이어,Noun,,
677,목표,Noun,,
679,뛰고,Verb,,
687,균형,Noun,,
689,잡아주는,Verb,,
693,찾아보았고,Verb,,
695,그것,Noun,,
697,들려,Verb,,
698,드리려,Verb,,
702,이든,Josa,,
703,채울,Verb,,
705,있도록,Adjective,Punctuation,
709,비우고,Verb,,
711,타고난,Verb,,
712,근성,Noun,,
716,바를,Verb,,
717,몸,Noun,,
722,새겼더니,Verb,,
724,스스로,Noun,,
727,믿을,Verb,,
