index,word,Word Type,Frequency
6315,짜리,Verb,7
5474,일찍,Noun,7
2292,마음가짐,Noun,7
5781,전력,Noun,7
3055,번은,Noun,7
5323,이상,#N/A,7
2827,바깥,Noun,7
1783,동점,Noun,7
5659,잠시,Noun,7
628,그것,Noun,7
2477,매번,Noun,7
3924,수비수,Noun,7
1594,대표,#N/A,7
3804,성적,Noun,7
6788,쿼터,Noun,7
5756,적응,Noun,7
7343,할지,Verb,7
2303,마쳤다,Verb,7
2953,발바닥,#N/A,7
7599,환경,Noun,7
2568,멤버,Noun,7
6609,추첨,#N/A,7
6995,파주,Noun,7
3126,보기,#N/A,7
4003,스스로,Noun,7
6112,중국,#N/A,7
235,거나,Noun,7
6643,충분히,Adjective,7
1946,들어가,Verb,7
4709,없다는,Adjective,7
5774,전국,Noun,7
776,기본,Noun,7
134,감사,Noun,7
3121,병원,Noun,7
4138,신분,Noun,7
3071,벌어진,Verb,7
5518,있는지,Adjective,7
4412,아팠다,#N/A,7
7470,행사,#N/A,7
7023,팰리스,#N/A,7
472,공간,Noun,7
780,기뻤다,Adjective,7
6108,중계,#N/A,7
5473,일지,Noun,7
482,공부,Noun,7
5748,적극,Noun,7
4196,심사,Noun,6
6613,축구공,Noun,6
2755,뭔가,Noun,6
1322,누나,#N/A,6
4979,올해,#N/A,6
4028,스포츠,Noun,6
5423,인천,Noun,6
5332,이어서,Adverb,6
1318,누가,Noun,6
5643,잔뜩,Noun,6
3806,성취,Noun,6
5138,웃었다,#N/A,6
3247,봤다,Verb,6
6805,큰일,Noun,6
6733,캠프,Noun,6
5570,자격,#N/A,6
2551,메디,Verb,6
4613,어떻,Adjective,6
5603,자식,Noun,6
2488,맨시티,#N/A,6
4945,온전히,Verb,6
1557,대기,Noun,6
5503,입지,#N/A,6
5028,외닝,Noun,6
7548,호흡,Noun,6
940,끝나는,Verb,6
6912,통증,#N/A,6
3417,비난,#N/A,6
1304,높이,Noun,6
6137,줘야,Verb,6
1753,돌이,Noun,6
5881,제도,Noun,6
6209,지도,Noun,6
3233,본선,#N/A,6
1422,다짐,Noun,6
1573,대상,#N/A,6
2849,바닥,Noun,6
5097,우즈베키스탄,#N/A,6
2879,박지성,Noun,6
5197,유로,Noun,6
7537,호날두,#N/A,6
222,개막전,#N/A,6
5285,이래,#N/A,6
4166,실수,Noun,6
7628,효과,Noun,6
6739,커서,Noun,6
2106,또래,Noun,6
1613,더욱,Noun,6
5410,인상,#N/A,6
1358,능력,Noun,6
627,그걸,Adverb,6
5956,좋겠다,#N/A,6
5143,웃음,Noun,6
568,구석,Noun,6
7730,힘들었다,Adjective,6
2914,받는,#N/A,6
1021,나섰다,Verb,6
7530,형제,Noun,6
3862,소문,Noun,6
4322,아는,Verb,6
1003,나면,Verb,6
292,걸까,Verb,6
1737,돌아오는,Verb,6
1335,눈빛,Noun,6
7147,플레이스테이션,Noun,6
4435,안다,Verb,6
2045,딱히,Adjective,6
6,가까운,Adjective,6
7380,해리,Noun,6
9,가까이,#N/A,6
5248,의지,Noun,6
2577,명문,Noun,6
649,그러다가,Conjunction,6
5750,적도,Noun,6
2527,먹지,Verb,6
6852,태어나서,Verb,6
1567,대륙,Noun,6
2426,맞고,Verb,6
5019,왕복,Noun,6
5436,일도,Noun,6
360,결론,Noun,6
4856,영광,Noun,6
979,나갈,Verb,6
1465,단지,#N/A,6
6821,타고,Noun,6
6122,중시,Noun,6
4681,얻은,Verb,6
2937,받을,Verb,6
6775,코치,Noun,6
2011,디펜딩,#N/A,6
5714,재미있었다,Adjective,6
5512,있고,Adjective,6
2868,바이아웃,#N/A,6
3030,버렸다,Verb,6
4790,역대,Noun,6
1693,돋았다,Verb,6
1559,대단한,Adjective,6
5307,이를,Verb,6
4897,오기,Noun,6
1502,달성,#N/A,6
424,고생,Noun,6
4375,아쉬움,Noun,6
7329,한일전,Noun,6
5106,운전,Noun,6
1708,돌아가고,Verb,6
1856,두리,#N/A,6
7279,하지만,Conjunction,6
5105,운영,Noun,6
4683,얻지,Noun,6
1680,도전,Noun,6
4777,여부,#N/A,6
6401,차지,Noun,6
1227,넣어,Verb,6
3365,불안감,Noun,6
1225,넣는,Verb,6
4887,예전,Noun,6
1244,넣지,#N/A,6
3962,순위,#N/A,6
1770,동북고,Noun,6
5205,유명하다,Adjective,6
2695,무승부,Noun,6
7293,학생,Noun,6
1685,독어,Noun,6
1996,들이,Verb,6
3042,버텼다,#N/A,6
1997,들이었다,Verb,6
5995,좌절,Noun,6
1585,대접,Noun,6
2216,레전드,Noun,6
4781,여유,#N/A,6
1503,달았다,Verb,6
3127,보내,Verb,6
3319,부탁,#N/A,6
6493,챙겨,Verb,6
2553,메시,Noun,6
5266,이길,Verb,6
7075,평가전,Noun,6
5564,잊을,Verb,6
2146,뛰지,Verb,6
5129,움직임,Noun,6
6650,취재,Noun,6
7219,하늘,Noun,6
709,근처,Noun,6
4049,승격,Noun,6
1578,대신,Noun,6
7349,함성,#N/A,6
703,근력,Noun,6
2351,만들어,Verb,6
4216,싶어,Verb,6
6293,질문,Noun,6
2031,따로,Adverb,6
745,기다리고,Verb,6
403,계획,Noun,6
5331,이어,Verb,6
4546,앞뒤,Noun,6
4651,어제,#N/A,6
2153,뜨거운,Adjective,6
3130,보내는,Verb,6
3227,본격,Noun,5
4533,알았다,Verb,5
6798,크루,Noun,5
6561,쳤다,Verb,5
2975,밤하늘,Noun,5
4364,아마,Noun,5
1545,당했다,Adjective,5
1916,듣고,Verb,5
1626,덜컥,Noun,5
1462,단일,#N/A,5
2874,바퀴,Noun,5
2860,바레인,Noun,5
1366,늦은,#N/A,5
4273,쏟아졌다,Verb,5
1981,들어온,Verb,5
1862,둘러싼,Verb,5
1808,되면서,Verb,5
1377,다가왔다,Verb,5
6887,테마,Noun,5
1905,드린다,Verb,5
1984,들어왔다,Verb,5
3911,쇼핑,#N/A,5
6803,크리스티아누,#N/A,5
6125,중요하다,Adjective,5
6774,코앞,#N/A,5
4593,얘기,Noun,5
5960,좋다,Adjective,5
6837,타지,Noun,5
1892,드는,Verb,5
1342,느껴졌다,Verb,5
6004,주고,Verb,5
4394,아이디어,#N/A,5
1449,단계,Noun,5
1780,동의,Noun,5
